speaker	vowel	context	F1	F2	F3	gl.F1	gl.F2	gl.F3
P01	AH	ONCE	549.9	969.7	2370.7	NA	NA	NA
P01	UW	POOR	475.2	869.5	2266.9	NA	NA	NA
P01	EH	SHEPHERD	560.6	1439.3	2458.3	NA	NA	NA
P01	OY	BOY	543.4	1015.7	2330.4	NA	NA	NA
P01	AA	WATCH	566.1	1027.7	2233.2	NA	NA	NA
P01	AA	FLOCKS	566.5	958.2	2250.2	NA	NA	NA
P01	IY	FIELDS	413.4	1954.8	2594.4	NA	NA	NA
P01	EH	NEXT	568.1	1476.9	2634.4	NA	NA	NA
P01	AA	DARK	635.1	1392	2569.5	NA	NA	NA
P01	AO	FOREST	562.9	1008.1	2132	NA	NA	NA
P01	UH	FOOT	494.9	957.7	2321.2	NA	NA	NA
P01	AW	MOUNTAIN	636.2	1269.6	2246.3	NA	NA	NA
P01	AA	HOT	665.3	1048.6	2184.6	NA	NA	NA
P01	UW	AFTERNOON	493.7	1652.5	2662.5	NA	NA	NA
P01	AO	THOUGHT	560	1100.4	2390.2	NA	NA	NA
P01	AE	PLAN	619.7	1143	2532.2	NA	NA	NA
P01	AH	COMPANY	496.4	1130.1	2239.9	NA	NA	NA
P01	EH	HIMSELF	566.4	1315.6	2566.3	NA	NA	NA
P01	AO	ALSO	578.9	1041.9	2314.3	NA	NA	NA
P01	AH	FUN	552.3	973.6	2451.9	NA	NA	NA
P01	EY	RAISING	520.5	1741.2	2679.9	NA	NA	NA
P01	IH	FIST	501.5	1573.3	2354.2	NA	NA	NA
P01	EH	AIR	452.8	1909.5	2497.5	NA	NA	NA
P01	AE	RAN	613.3	1195.2	2130	NA	NA	NA
P01	AW	DOWN	604.7	1374.8	2367.9	NA	NA	NA
P01	IH	VILLAGE	480.3	1458.4	2337	NA	NA	NA
P01	AW	SHOUTING	585.9	1444	2566.1	NA	NA	NA
P01	UH	WOLF	506.9	915.5	2373.8	NA	NA	NA
P01	UH	WOLF	500.5	909.3	2410.7	NA	NA	NA
P01	UW	SOON	425.3	1624.1	2263.6	NA	NA	NA
P01	ER	HEARD	549.1	1455.3	2362.8	NA	NA	NA
P01	IH	HIM	482.9	1626.9	2626.1	NA	NA	NA
P01	IH	VILLAGERS	471.5	1408.7	2249.2	NA	NA	NA
P01	AO	ALL	540.7	1033.2	2314.2	NA	NA	NA
P01	AH	RUSHED	499.3	1013.2	2219.6	NA	NA	NA
P01	OW	HOMES	581.6	1023	2132	NA	NA	NA
P01	ER	CONCERN	530	1451.8	2614	NA	NA	NA
P01	EY	SAFETY	552.1	1561.6	2911.2	NA	NA	NA
P01	UW	TWO	412.3	1511.3	2337.6	NA	NA	NA
P01	AH	COUSINS	497.8	1118.8	2346.5	NA	NA	NA
P01	EY	STAYED	526.3	1601.6	2495.6	NA	NA	NA
P01	IH	HIM	628.7	1550.2	2602	NA	NA	NA
P01	AO	SHORT	551.6	1088.6	2399.5	NA	NA	NA
P01	AY	WHILE	622.6	1069.1	2174.8	NA	NA	NA
P01	IH	THIS	455.9	1740	2476.9	NA	NA	NA
P01	EY	GAVE	475.9	1766.8	2115.2	NA	NA	NA
P01	OY	BOY	546.2	1022.9	2095.3	NA	NA	NA
P01	EH	PLEASURE	581.3	1269.9	2397.6	NA	NA	NA
P01	UW	FEW	380.7	1697.2	2074.5	NA	NA	NA
P01	EY	DAYS	498.3	1644.1	2416.9	NA	NA	NA
P01	EY	LATER	519.2	1549.7	2408.4	NA	NA	NA
P01	AY	TRIED	592.2	1227	2066.3	NA	NA	NA
P01	AE	EXACTLY	636	1246.5	2438.2	NA	NA	NA
P01	EY	SAME	520.5	1593.6	2430.7	NA	NA	NA
P01	EH	AGAIN	566.9	1599.2	2355.8	NA	NA	NA
P01	AH	ONCE	603.4	964.1	2260.4	NA	NA	NA
P01	AO	MORE	510.8	959	2434.5	NA	NA	NA
P01	EH	SUCCESSFUL	589.9	1336.2	2418.2	NA	NA	NA
P01	EH	HOWEVER	540.8	1235	2155.3	NA	NA	NA
P01	AO	LONG	635.2	996.5	2284.8	NA	NA	NA
P01	AE	AFTER	628	1415.9	2340.5	NA	NA	NA
P01	UH	WOLF	465.6	882.3	2403.9	NA	NA	NA
P01	EY	ESCAPED	511.8	1665.8	2431.2	NA	NA	NA
P01	UW	ZOO	438.2	1527.1	2374.8	NA	NA	NA
P01	EY	CHANGE	516.4	1711.4	2598.2	NA	NA	NA
P01	UW	USUAL	423	1802.2	2049.9	NA	NA	NA
P01	AY	DIET	656.3	1177.9	2218.3	NA	NA	NA
P01	AH	DUCK	543.7	1135	2138.8	NA	NA	NA
P01	OW	OVERCOMING	531	1019.4	2200.5	NA	NA	NA
P01	IH	FEAR	472.6	1643.2	2455.3	NA	NA	NA
P01	AA	SHOT	580.1	1151.1	2021.1	NA	NA	NA
P01	AE	ACTUALLY	668.9	1531.7	2162.7	NA	NA	NA
P01	IH	DID	452.1	1752.1	2445.2	NA	NA	NA
P01	AW	OUT	648.1	1167.6	2257.7	NA	NA	NA
P01	AO	FOREST	572	1060.6	2172.5	NA	NA	NA
P01	AE	BEGAN	573.8	1531.2	2335.8	NA	NA	NA
P01	EH	THREATEN	556.5	1384.4	2270.7	NA	NA	NA
P01	IY	SHEEP	411.4	1902.5	3344.6	NA	NA	NA
P01	EY	RACING	482.5	1600.9	2032.7	NA	NA	NA
P01	IH	VILLAGE	488.5	1519.9	2650.9	NA	NA	NA
P01	OY	BOY	550.3	891.7	2221.2	NA	NA	NA
P01	AO	COURSE	571.6	1051.8	2179.4	NA	NA	NA
P01	AY	CRIED	592.3	1116.4	1852	NA	NA	NA
P01	AW	OUT	633.5	1463.8	2572.7	NA	NA	NA
P01	IY	EVEN	416.6	2107	3242.4	NA	NA	NA
P01	AW	LOUDER	645.5	1138.6	2378.8	NA	NA	NA
P01	AO	BEFORE	495.3	919.3	2256.5	NA	NA	NA
P01	AO	UNFORTUNATELY	543.8	976.4	2261.9	NA	NA	NA
P01	AO	ALL	525.6	1073.7	2330.3	NA	NA	NA
P01	IH	VILLAGERS	457.2	1395.2	2322.2	NA	NA	NA
P01	IH	CONVINCED	525	1599.1	2411.7	NA	NA	NA
P01	AY	TRYING	596.4	1229.2	2082.3	NA	NA	NA
P01	UW	FOOL	417.8	1328.9	2055.8	NA	NA	NA
P01	ER	THIRD	531.1	1350.5	2503.6	NA	NA	NA
P01	AY	TIME	652.5	1209.2	2203.1	NA	NA	NA
P01	OW	TOLD	508.5	1180.8	2310.7	NA	NA	NA
P01	IH	HIM	495.4	1518.2	2324.1	NA	NA	NA
P01	OW	GO	564.1	1206	2105.4	NA	NA	NA
P01	EY	AWAY	556.5	1479.5	2238	NA	NA	NA
P01	AA	DONT	552	1076.8	2183.2	NA	NA	NA
P01	AA	BOTHER	536	974.6	2334.8	NA	NA	NA
P01	AH	US	490.5	1149.4	2070.1	NA	NA	NA
P01	UH	WOLF	441.9	882.2	2538.3	NA	NA	NA
P01	IY	FEAST	398.5	2272.4	3491.7	NA	NA	NA
